id,name,nickname,status,bedrooms,bathrooms,accommodates,propertyTypeId,propertyTypeName,roomTypeId,roomTypeName,city,state,country,zipcode,latitude,longitude,basePrice,currency,weeklyDiscount,monthlyDiscount,cleaningFee,securityDeposit,minimumStay,maximumStay,checkInTime,checkOutTime,ownerId,createdAt,updatedAt,channelCount,photoCount,amenityCount
337744,Charming 6BR Home in Milwaukee’s Historic District,,,,,,2,,,,,,,,,,,,,,350,,,,,11,,,,0,0,0
338731,Private Workspace •  Sleeps 4 • Modern Stylish Stay,,,,,,1,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
338761,2BR Fitness Pad • Private Gym • Sleeps 7,,,,,,1,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
338771,Sleeps 4 • New Modern 1BR • Private Workspace,,,,,,1,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
338779,Sleeps 7 •  Huge Projector •  Designated Workspace,,,,,,1,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
341956,Cape Canaveral 3BR Escape: Steps from the Beach,,,,,,2,,,,,,,,,,,,0.6,0.6,250,,,,,11,,,,0,0,0
341984,Woodlands Escape: 3BR Texas Retreat w/ Forest View,,,,,,2,,,,,,,,,,,,,,250,,,,,11,,,,0,0,0
345111,Vermont Retreat: 3BR with Mountain Views & Trails,,,,,,2,,,,,,,,,,,,,,270,,,,,11,,,,0,0,0
346195,Waterfront •  Canal View • Games • King Bed,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
353716,"Fall Foliage Retreat: Hot Tub, Kayaks & Pond Deck",,,,,,2,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
354631,"Sunny Tampa Oasis: Pool, Patio & Gazebo",,,,,,2,,,,,,,,,,,,,,275,,,,,11,,,,0,0,0
356150,"Earth's River Retreat: Kayaks, Wineries & GOTL",,,,,,2,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
361368,Chic San Antonio Cottage: 5 Miles to Downtown,,,,,,43,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
362405,Capital Getaway: Near D.C. & Hiking,,,,,,2,,,,,,,,,,,,,,150,,,,,11,,,,0,0,0
363369,Bright Sunroom & Water View in Cape Coral,,,,,,2,,,,,,,,,,,,,,250,,,,,11,,,,0,0,0
367527,Rustic Escape w/ Game Room & Modern Amenities,,,,,,2,,,,,,,,,,,,,,300,,,,,11,,,,0,0,0
374265,"3BR Home with Pool & Parking, Solar Power",,,,,,2,,,,,,,,,,,,,,275,,,,,10,,,,0,0,0
374735,Serene 3 BR Canyon Lake Getaway w/ Stunning Views!,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
375113,Serene 4BR Cabin: Mouth of Wilson Countryside Retreat,,,,,,7,,,,,,,,,,,,,,300,,,,,10,,,,0,0,0
376370,4BR Riverfront House w/ Private Boat Dock,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
379114,2BR • Newly Furnished Modern Apt • Near O'Hare,,,,,,1,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
381450,Hawthorne Retreat w/ Waterfront Fire Pit!,,,,,,2,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
381758,"Dunnellon Dream - Pool, Fire Pit & Outdoor Bar",,,,,,2,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
386299,Jacuzzi • Gym • Deck + Near VA Wineries,,,,,,2,,,,,,,,,,,,,,170,,,,,10,,,,0,0,0
386702,5BR Lakefront Home - Dock & Boat Rental + Views!,,,,,,2,,,,,,,,,,,,,,350,,,,,10,,,,0,0,0
387076,Modern Santa Cruz Studio Near Beach + Hot Tub,,,,,,1,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
387696,New 3BR Lakefront Home w/ Dock + Fishing Pond,,,,,,2,,,,,,,,,,,,,,250,,,,,10,,,,0,0,0
387720,Stunning Views - Hot Tub - Fire Pit - Grill,,,,,,2,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
388108,Sleeps 24-Beachfront Entire Resort- Outdoor Pool 7BR,,,,,,8,,,,,,,,,,,,,,500,,,,,10,,,,0,0,0
388145,Penthouse w/Pool+Rooftop Terrace | Midtown Atlanta,,,,,,6,,,,,,,,,,,,0.95,0.95,300,,,,,10,,,,0,0,0
388546,Events and Concierge! 6BR Heated Pool Near Wineries,,,,,,8,,,,,,,,,,,,,,610,,,,,11,,,,0,0,0
389952,Madeira Beachside - Pool & Steps to the Sand,,,,,,30,,,,,,,,,,,,,,75,,,,,10,,,,0,0,0
390041,"Steps to Beach, Heated Pool, 2 Queen Beds, 2BA",,,,,,30,,,,,,,,,,,,,,115,,,,,10,,,,0,0,0
390042,"King Bed, Steps to Madeira Beach, Heated Pool, Private",,,,,,29,,,,,,,,,,,,,,90,,,,,10,,,,0,0,0
390047,"King Bed, Step to Madeira Beach, Heated Pool, Private",,,,,,29,,,,,,,,,,,,,,90,,,,,10,,,,0,0,0
390048,Queen Bed-Step to Madeira Beach-Heated Pool-Private,,,,,,29,,,,,,,,,,,,,,90,,,,,10,,,,0,0,0
390049,King Bed-Step to Madeira Beach-Heated Pool-Private,,,,,,29,,,,,,,,,,,,,,90,,,,,10,,,,0,0,0
390407,Budget-Friendly Room| Free Coffee | Downtown,,,,,,30,,,,,,,,,,,,,,60,,,,,11,,,,0,0,0
391954,Theater • Game Room • Gym • Firepit • 4BR Home,,,,,,2,,,,,,,,,,,,,,300,,,,,10,,,,0,0,0
396791,Sleeps 18 • 8BR • Game Room • Gym • Theater,,,,,,2,,,,,,,,,,,,,,500,,,,,10,,,,0,0,0
397996,2BR w/ Workspace + Coffee Bar • Near Transit,,,,,,1,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
398024,2BR • Sleeps 7 • Coffee Station • Backyard w/ Grill,,,,,,2,,,,,,,,,,,,,,200,,,,,10,,,,0,0,0
