"id","name","nickname","status","type","bedrooms","bathrooms","accommodates","propertyTypeId","propertyTypeName","roomTypeId","roomTypeName","address_line1","address_line2","address_city","address_state","address_country","address_zipcode","address_latitude","address_longitude","basePrice","currency","weeklyDiscount","monthlyDiscount","createdAt","updatedAt","ownerId","description","checkInTime","checkOutTime","minimumStay","maximumStay","cleaningFee","securityDeposit","extraGuestFee"
"169541","Sleeps 40! 13BR•Heated Pool•Waterfront Resort•Spa","","","","","","","8","","","","","","","","","","","","","","0.67","","","","","✨ The pictures of the pool and yard don’t do them justice at all! The place was perfect for us and everyone had a great! Would definitely book again! ✨

⭐ Featuring 13 bedrooms, 9+ bathrooms, 5000 sq ft of living space, on over 3 acres of land, we are proud to present the largest and most equipped Airbnb in Tampa. ⭐

🌟 HIGHLIGHTS 🌟

🛌🏻 13 Bedrooms; 1 King Bed, 11 Queen Beds, 3 Full Bunk Beds, 5 Twin Beds
🚿 7 Full Bathrooms and 4 Outdoor Half Baths w/ Complimentary Toiletries
🍽️ 3 Full Kitchens w/ High End Appliances
🛋️ Multiple Spacious Living Areas w/ Sectional Couch + Smart TV
🏊 Private Outdoor Pool
🏞️ River and canal view
🌳 Outdoor spaces for hanging out
🛶 Access to lake
🎭 Lots of entertainment amenities
🙋‍♂️ Maximum Capacity: 45

✨ It felt like we were on our own island. ✨

👉 Welcome to our luxurious and expansive resort nestled on over 3 acres of beautiful land! This extraordinary property offers the perfect blend of comfort, entertainment, and natural beauty, making it an ideal retreat for large groups, events, corporate retreats, bachelor parties, and more

👉 On the second floor, you'll find two bedrooms, one with three queen beds and a twin bed. These rooms are connected to living room and kitchen. Also on this floor, our spacious kitchen and dining room is attached to the main living room with a pool table, providing ample space for entertainment and relaxation. Indoor dining for up to 25 guests is available, while outdoor dining can accommodate another 25 guests, allowing you to enjoy meals with stunning views. All of these dining areas are adjacent to each other.

👉 On the third floor, you'll discover our a state-of-the-art Theater Room awaits, equipped with a projector and all your favorite streaming services. The highlight of the third floor is the private balcony attached to the Master Bedroom, offering breathtaking views of the water—a perfect spot to unwind and connect with nature. The most unique bedroom of the house features a twin bed with nature themes and decor. The rest of the floor features one bedroom with a queen bed, one bedroom with a king bed and a twin bed, and two bedrooms each with a queen bed and a twin bed

👉 As for recreation, you'll be spoiled with choices! Enjoy the *heated pool and hot tub with beach sand, providing a resort-like experience right at your doorstep. For sports enthusiasts, there's a soccer field and a volleyball field to organize friendly matches. For fitness enthusiasts, a private gym is at your disposal with squat rack and plated weights, bench press with dumbbells, yoga equipment, a stationary smart bike, resistance bands, kettle bells, and even a punching bag!
*Fees may apply

👉 To top it all off, a standalone hot tub awaits by the water, offering a relaxing and tranquil experience. Nearby is also our Treehouse which features another deck overlooking the water that can fit 15 people along with swinging eggshell chairs for added comfort.

⭐ BEDROOMS ⭐

🏡 FIRST FLOOR
🛌🏻 Bedroom 1: Queen bed
🛌🏻 Bedroom 2: Queen bed
🛌🏻 Bedroom 3: 3x Full bunk beds
🛌🏻 Bedroom 4: Queen bed
🛌🏻 Bedroom 5: Queen bed
🛌🏻 Bedroom 6: Queen bed


🏡 SECOND FLOOR
🛌🏻 Bedroom 7: 1x Queen bed + 1x Twin bed
🛌🏻 Bedroom 8: 2x Queen beds

🏡 THIRD FLOOR
🛌🏻 Bedroom 9: Twin bed
🛌🏻 Bedroom 10: 1x King bed + 1x Twin bed
🛌🏻 Bedroom 11: Queen bed
🛌🏻 Bedroom 12: 1x Queen bed + 1x Twin bed
🛌🏻 Bedroom 13: 1x Queen bed + 1x Twin bed


💫 Bed linens
💤 Extra pillows and blankets
⬛ Room-darkening shades
👗 Clothing storage

⭐ LIVING ROOM ⭐

There are 3 living rooms in the house where the guests can relax, unwind, and socialize. All of them have:

🛋️ Full sectional sofas
📺 75” Smart TV with Disney+, Fire TV, HBO Max, Hulu, Netflix, Roku
🛜 Fast Wi-fi

⭐ ENTERTAINMENT ⭐

🎬 Movie room
🎱 Pool table
🏒 Air hockey table
⚽︎ Foosball (table soccer)
🏀 Basketball
🎲 Board games
🎯 Darts
🎮 Game consoles
🏓 Ping pong table
🔊 Bluetooth sound system
📚 Children’s books and toys

⭐ BATHROOM ⭐

The bathrooms offer a variety of shower/tub combinations and a large shower so you can choose how to wash up at the end of the day. There are 7 full baths and 4 outdoor half baths that the guests can use.

🛀 Bathtub
🧴 Shampoo and conditioner
😶‍🌫️ Shower gel
♨️ Hot water
🧼 Body soap
🫧 Cleaning products
⬜ Towels
🛁 Baby bath

❗ This place also has free dryer and washer

⭐ KITCHEN & DINING ⭐

🍳 Stainless steel stove
🥘 Stainless steel oven
🍚 Rice cooker
☕ Coffee maker
🌡️ Hot water kettle
🍹 Blender
🥣 Cookware
🍴 Dishes and silverware
🎛️ Microwave
🧊 Refrigerators
❄️ Freezer
🧊 Mini fridge
🫧 Dishwasher
🗑️ Trash compactor
🍽️ Indoor dining area for up to 15 people
🍽️ Outdoor dining area for up to 10 people

⭐ OUTDOOR SPACE ⭐

One of the highlights of this place is the outdoor area which includes a dining area, an amazing pool, and lots of areas where the guests can hang out and socialize.

🥂 Private patio
🛶 Deck patio
⛅ Balcony
♨️ Fire pit
🏊 Pool
🛌🏻 Outdoor furniture
🍃 Hammock
🍽️ Outdoor dining area
🍖 BBQ grill
⛱️ Sun loungers
🤸‍♂️ Outdoor playground

📌 Note: Pool heating is available for an additional fee.

⭐ HEATING & COOLING ⭐

❄️ Central AC
🌡️ Central heating
𖣘 Ceiling fans
🍃 Portable fans

⭐ HOME SAFETY ⭐

🚨 Smoke alarm
⚠ Carbon monoxide alarm
🧯 Fire extinguisher
🧰 First aid kit

⭐ ACTIVITIES/ATTRACTIONS ⭐

Discover a range of nearby activities and attractions, from local dining spots to outdoor adventures, all within easy reach. There's something for everyone to enjoy and make the most of your stay.

📍 The Florida Aquarium
📍 Upper Tampa Bay Park
📍 International Plaza and Bay Street 

📢 Don’t miss out on this fantastic vacation home! Book now to experience the best of Tampa with all the comforts of a home away from home.

✨ Book Today & Let Us Take Care Of You In Tampa! ✨


🔎 GUEST ACCESS 🔎

🌟 Ella was a dream host. The place was perfect. 🌟

🏠 GENERAL: Guests can enjoy full access to the whole property and its amenities. Long-term stays are allowed.

🔑 KEYLESS ENTRY: Access the property easily with our keyless entry system using a keypad. A unique access code will be provided to each guest for added security and ease.

🚘 PARKING: Free spacious on-site parking.

🐾 PETS: Pets are welcome, but must be registered and reported to the host. Ensure that they are well-behaved and that you take necessary precautions to prevent any damage. Pet owners will be responsible for any damages caused.

💡 BEFORE ARRIVAL: We’ll provide detailed check-in instructions and are available to answer any questions you may have about the property or the surrounding area.

📞 DURING STAY: Our team is available to assist you during your stay. We are just a phone call/text message away if you need anything.

👋 AFTER DEPARTURE: Please ensure that the property is left in good condition. We appreciate your feedback and are available to address any post-stay queries or concerns.

📢 Don’t hesitate to reach out with any questions - we look forward to hosting you!

🚨 HOUSE RULES & POLICIES 🚨

✔️ Unregistered guests are not allowed. Additional fees may apply.
✔️ Pets are welcome, but they must be registered and reported to the host. Ensure that they are well-behaved and that you take necessary precautions to prevent any damage. Pet owners will be responsible for any damages caused. A pet fee will apply.
✔️ No smoking inside the property. 
✔️ No parties, events, or large gatherings allowed 
✔️ Please observe quiet hours from 10 PM to 8 AM.
✔️ Respect the neighbors. Do not park on their premises.
✔️ Do not leave food or debris that can attract pests. Maintain cleanliness throughout your stay.
✔️ Do not flush anything down the toilet to avoid plumbing issues.
✔️ Please report anything that is not working or broken upon check-in.
✔️ Follow the guidebook instructions.
✔️ Adhere to the standard check-in and check-out time. Early check-in and late checkout are subject to the host's approval. 
✔️ Must be at least 21 years old to book
✔️ View Rental Agreement, Photo ID, and Security Deposit may be required upon check-in.
✔️ We reserve the right to charge a fee if ANY of the policy is violated.  
✔️ Any unauthorized moving of furniture that results in additional cleaning, repairs, or setup may incur a fee of up to $1000.

 🔔 OTHER THINGS TO NOTE 🔔

📌 We use ChargeAutomation to provide a secure guest portal, which can be shared with your group and adds an extra layer of verification to prevent fraudulent bookings. You'll receive this link after your booking is confirmed.

📌 We hold a security deposit during your stay, which will be fully refunded after check-out, provided there are no damages to the property.

📌 Please take a moment to read our House Rules in the House Rules section.

📌 This property comfortably accommodates up to 30 guests, but we are happy to consider hosting up to 40 guests if needed.

📌 Pool heating is available for an additional fee. To have the pool ready and warm for your arrival, please give us at least 48 hours’ notice.

📌  We’d like to set your expectations that the pool temperature is affected by the weather. On cooler days, the heating system may not be able to warm the water as much, but we’ll do our best to maintain a comfortable temperature for swimming.

📌  Since the property is secluded, we utilize an open trailer toward the front of the parking area of the property to hold waste. This is routinely emptied and disposed of. No unapproved events or groups larger than booked can be brought as this can overwhelm the septic tank system or well water system that is on the property.

📌 We offer options for early check-in and late check-out, subject to availability. Please note, there is a fee for early check-in and late check-out.

📌 Mid-stay cleaning and other concierge services are available upon request for an additional fee.

📌 For guests’ convenience, those with early arrivals or late departures can drop off their luggage with host approval before standard check-in time.

📌 We’re delighted to welcome you to our beautiful property, located near a body of water. To ensure a comfortable stay, we conduct weekly pest control to minimize the presence of no-see-ums, mosquitoes, and other insects. However, please note that being near water means there is a higher chance of encountering wildlife, including alligators, which can be found in any freshwater area in Florida. While this is part of the natural charm of the area, we encourage guests to enjoy the surroundings responsibly. Your comfort and safety are always our priority!

📌 Surveillance or recording devices on property - We use a noise monitoring device; It does NOT record actual sounds or conversations, it simply monitors the noise level (measured in decibels). Video recording devices only monitor the exterior of the home and not any of the interior or swimming/hot tub areas.","","10","","","550","",""
"169542","Elmwood Park Remodeled Studio Condo","","","","","","","1","","","","","","","","","","","","","","0.9","0.5","","","","✨ “ I walked around all hours of the day and night and always felt safe. I will stay here again. ” ✨

👉 Brand New Modern & Cozy Studio Condo located in a top-rated neighborhood.


🌟 HIGHLIGHTS 🌟
🛌🏻 Studio: 1x King Bed, 1x Sofa Bed
🚿 1 Full Bathroom w/ Complimentary Toiletries
🍽️ Full kitchen w/ High End Appliances
🛋️ Spacious Living Area w/ Sofa + Smart TV
💻 Free Wi-Fi + Multiple Laptop-friendly Surfaces
💨 Central Air Conditioning & Heating
👕 On-site washer and dryer (coin-operated, but we provide enough coins for your stay.)
🚘 Free Private Parking
🐾 Furry friends are welcome!
📍 Convenient access to a variety of dining and shopping options, with the train station within walking distance and downtown Chicago just a short drive away.
🙋‍♂️ Maximum Capacity: 4


✨ “ Lots of iconic Chicago restaurants in the area. Walkable to the Metra so downtown is a short relaxing ride away. ” ✨


📢 EAGER TO KNOW MORE? , READ BELOW ! 📢


⭐ BEDROOM ⭐
🛌🏻 1 King Bed, 1 Sofa Bed
✔️Extra pillows and blankets upon request
✔️Ceiling fan


⭐ BATHROOM ⭐
✔️ Bathtub w/ shower
✔️ Fresh towels
✔️ Shampoo, conditioner and body wash
✔️ Hair dryer


⭐ KITCHEN & DINING ⭐
✔️ High-end appliances
✔️ Full size refrigerator 
✔️ Stove, oven, microwave, air fryer, rice cooker, toaster, blender
✔️ Coffee Maker
✔️ Dishware and dining utensils
✔️ Essential cooking utensils 
✔️ Stocked with basic supplies: paper towels, trashbags, etc.
✔️ Cozy dining table for 4


⭐ LIVING ROOM ⭐
✔️ Comfortable sofa: seats 5-6
✔️ 60"" HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix


🚨 HOME SAFETY 🚨

✔️ Carbon monoxide alarm
✔️ First aid kit


⭐ ACTIVITIES/ATTRACTIONS ⭐
Discover a range of nearby activities and attractions, from local dining spots to outdoor adventures, all within easy reach. There's something for everyone to enjoy and make the most of your stay.

📍 Central Park - This well-kept green space offers a variety of amenities, including playgrounds, picnic areas, and walking paths. It’s a perfect spot for outdoor recreation, family gatherings, or simply relaxing in nature.

📍Cinemark Melrose Park and XD - This state-of-the-art cinema offers an immersive movie experience with spacious seating and crystal-clear sound, making it the perfect place to enjoy the latest films in comfort and style.

📍 The Brickyard - This vibrant venue features a diverse range of shops, dining options, and entertainment choices, creating a lively atmosphere perfect for both relaxation and socializing.


📢 Don’t miss out on this fantastic vacation home! Book now to experience the best of Elmwood Park with all the comforts of a home away from home.

✨ Book Today & Let Us Take Care Of You In Elmwood Park! 


🔎 GUEST ACCESS 🔎

🏠 GENERAL: Guests can enjoy full access to the whole property and its amenities. Long-term stays are allowed.

🔑 KEYLESS ENTRY: Access the property easily with our keyless entry system using a keypad. A unique access code will be provided to each guest for added security and ease.

🚘 PARKING: Free parking is available in the lot behind the building. Please note that street parking restrictions apply during snowfall.

🐾 PETS: Pets are welcome, but must be registered and reported to the host. Ensure that they are well-behaved and that you take necessary precautions to prevent any damage. Pet owners will be responsible for any damages caused.

💡 BEFORE ARRIVAL: We’ll provide detailed check-in instructions and are available to answer any questions you may have about the property or the surrounding area.

📞 DURING STAY: Our team is available to assist you during your stay. We are just a phone call/text message away if you need anything.

👋 AFTER DEPARTURE: Please ensure that the property is left in good condition. We appreciate your feedback and are available to address any post-stay queries or concerns.


📢 Don’t hesitate to reach out with any questions - we look forward to hosting you!!


🚨 HOUSE RULES & POLICIES 🚨

✔️ Unregistered guests are not allowed. Additional fees may apply.
✔️ Pets are welcome, but they must be registered and reported to the host. Ensure that they are well-behaved and that you take necessary precautions to prevent any damage. Pet owners will be responsible for any damages caused. A pet fee will apply.
✔️ No smoking inside the property. 
✔️ No parties, events, or large gatherings allowed 
✔️ Please observe quiet hours from 10 PM to 8 AM.
✔️ Respect the neighbors. Do not park on their premises.
✔️ Do not leave food or debris that can attract pests. Maintain cleanliness throughout your stay.
✔️ Do not flush anything down the toilet to avoid plumbing issues.
✔️ Please report anything that is not working or broken upon check-in.
✔️ Follow the guidebook instructions.
✔️ Adhere to the standard check-in and check-out time. Early check-in and late checkout are subject to the host's approval. 
✔️ Must be at least 21 years old to book
✔️ View Rental Agreement, Photo ID, and Security Deposit may be required upon check-in.
✔️ We reserve the right to charge a fee if ANY of the policy is violated.  
✔️ Any unauthorized moving of furniture that results in additional cleaning, repairs, or setup may incur a fee of up to $1000.


🔔 OTHER THINGS TO NOTE 🔔 

📌 We use ChargeAutomation to provide a secure guest portal, which can be shared with your group and adds an extra layer of verification to prevent fraudulent bookings. You'll receive this link after your booking is confirmed.

📌 We hold a security deposit during your stay, which will be fully refunded after check-out, provided there are no damages to the property.

📌 Please take a moment to read our House Rules in the House Rules section.

📌 This property comfortably accommodates up to 2 guests, but we are happy to consider hosting up to 4 guests if needed.

📌 We offer options for early check-in and late check-out, subject to availability. Please note, there is a fee for early check-in and late check-out.

📌 Mid-stay cleaning and other concierge services are available upon request for an additional fee.

📌 For guests’ convenience, those with early arrivals or late departures can drop off their luggage with host approval before standard check-in time.","","11","","","150","",""
"169543","Mins from O'Hare • Safe Location • Private Parking","","","","","","","1","","","","","","","","","","","","","","0.55","0.5","","","","✨ “ Super comfy couch (one of my favorites and we have been traveling in airbnbs for 6 months)” ✨

👉 Entire apartment for yourself with a free parking spot!
👉 Located in one of the safest Chicago neighborhoods
👉 Minutes from Rosemont, Rivers Casino, and O'hare airport.
👉 Close to the Blue line for transportation to downtown.

✨ “ Very nice and beautiful place, very nice to have the park close for hiking, beautiful surroundings and everything very close. ” ✨

🌟 HIGHLIGHTS 🌟
🛌🏻 1 Bedroom: 1 Queen Bed and 1 Air Mattress
🚿 1 Full Bathroom w/ Complimentary Toiletries
🍽️ Full Kitchen w/ High End Appliances
🛋️ Spacious Living Area w/ Sectional Couch + Cable TV
💻 Free Wi-Fi + Multiple Laptop-friendly Surfaces
👪 Family-Friendly amenities: Pack ’n Play/travel crib and High Chair
🚘 Free Private Parking
🐾 Furry friends are welcome!
🙋‍♂️ Maximum Capacity: 4


📢 EAGER TO KNOW MORE? READ BELOW! 📢


⭐ BEDROOMS ⭐

🛌🏻 Bedroom 1: Queen Bed
✔️ Room Darkening Shades
✔️ Clothing Storage
✔️ Extra pillows and blankets upon request


⭐ BATHROOMS ⭐

🚿 Bathroom 1: Full Bathroom
✔️ Bathtub w/ shower
✔️ Fresh towels
✔️ Shampoo, conditioner and body wash
✔️ Hair Dryer


⭐ KITCHEN & DINING ⭐

✔️ High-end appliances
✔️ Full size refrigerator
✔️ Stove, oven, microwave
✔️ Coffee maker 
✔️ Dishware, flatware, and dining utensils
✔️ Essential cooking utensils
✔️ Stocked with basic supplies: paper towels, trash bags, etc.
✔️ Cozy dining table for 4


⭐ LIVING ROOM ⭐

✔️ Comfortable sofa: seats 5-6
✔️ Smart TV 
✔️ Ceiling Fan


🚨 HOME SAFETY FEATURES 🚨

✔️ Smoke Detector
✔️ Carbon Monoxide Detector:
✔️ First Aid Kit


⭐ ACTIVITIES/ATTRACTIONS ⭐
Discover a range of exciting activities and attractions just minutes from your accommodation. Explore indoor adventures, enjoy local parks, or dive into the vibrant entertainment scene. With convenient shopping and dining options, there's something for everyone to enjoy.

📍 iFLY Indoor Skydiving - Feel the rush of freefall with indoor skydiving at iFLY. Perfect for both beginners and thrill-seekers, this unique attraction offers an exciting and safe way to experience the sensation of skydiving without leaving the ground.

📍 Parkway Bank Park Entertainment District - Dive into a lively hub of dining, entertainment, and events at the Parkway Bank Park Entertainment District. This vibrant area offers a variety of restaurants, bars, and attractions, making it a perfect spot for a fun night out or a casual day of exploration

📍 Rosemont Theater - Experience top-notch entertainment at Rosemont Theater, where you can enjoy a diverse lineup of performances, from concerts and Broadway shows to comedy and family-friendly events. This iconic venue promises an unforgettable experience with its excellent acoustics and comfortable seating.

📍 Catherine Chevalier Woods - Discover the natural beauty of Catherine Chevalier Woods, a serene retreat offering scenic walking trails, lush greenery, and peaceful surroundings. Perfect for a relaxing stroll or a quiet escape, this park provides a tranquil setting to connect with nature and enjoy the outdoors.


📢 Don’t miss out on this fantastic vacation home! All these activities and more are within your reach when you book with us!

✨ Book Today & Let Us Take Care Of You In Chicago! ✨


🔎 GUEST ACCESS 🔎

🏠 GENERAL: Guests can enjoy full access to the whole property and its amenities. Long-term stays are allowed.

🔑 SELF CHECK IN: Enjoy hassle-free entry with our lockbox. A personalized code will be sent to you before your arrival.

🚘 PARKING: Free Private Parking

🐾 PETS: Pets are welcome, but must be registered and reported to the host. Ensure that they are well-behaved and that you take necessary precautions to prevent any damage. Pet owners will be responsible for any damages caused.

💡 BEFORE ARRIVAL: We’ll provide detailed check-in instructions and are available to answer any questions you may have about the property or the surrounding area.

📞 DURING STAY: Our team is available to assist you during your stay. We are just a phone call/text message away if you need anything.

👋 AFTER DEPARTURE: Please ensure that the property is left in good condition. We appreciate your feedback and are available to address any post-stay queries or concerns.


📢 Don’t hesitate to reach out with any questions - we look forward to hosting you!


🚨 HOUSE RULES & POLICIES 🚨

✔️ Unregistered guests are not allowed. Additional fees may apply.
✔️ Pets are welcome, but they must be registered and reported to the host. Ensure that they are well-behaved and that you take necessary precautions to prevent any damage. Pet owners will be responsible for any damages caused. A pet fee will apply.
✔️ No smoking inside the property. 
✔️ No parties, events, or large gatherings allowed 
✔️ Please observe quiet hours from 10 PM to 8 AM.
✔️ Respect the neighbors. Do not park on their premises.
✔️ Do not leave food or debris that can attract pests. Maintain cleanliness throughout your stay.
✔️ Do not flush anything down the toilet to avoid plumbing issues.
✔️ Please report anything that is not working or broken upon check-in.
✔️ Follow the guidebook instructions.
✔️ Adhere to the standard check-in and check-out time. Early check-in and late checkout are subject to the host's approval. 
✔️ Must be at least 21 years old to book
✔️ View Rental Agreement, Photo ID, and Security Deposit may be required upon check-in.
✔️ We reserve the right to charge a fee if ANY of the policy is violated.  
✔️ Any unauthorized moving of furniture that results in additional cleaning, repairs, or setup may incur a fee of up to $1000.


🔔 OTHER THINGS TO NOTE 🔔 

📌 We use ChargeAutomation to provide a secure guest portal, which can be shared with your group and adds an extra layer of verification to prevent fraudulent bookings. You'll receive this link after your booking is confirmed.

📌 We hold a security deposit during your stay, which will be fully refunded after check-out, provided there are no damages to the property.

📌 Please take a moment to read our House Rules in the House Rules section.

📌 This property comfortably accommodates up to 2 guests, but we are happy to consider hosting up to 4 guests if needed.

📌 Travelling with little ones? We’ve got you covered with supplies available upon request, including a Pack ’n Play/travel crib, highchair, and board games. Fees may apply upon the host's discretion.

📌 We offer options for early check-in and late check-out, subject to availability. Please note, there is a fee for early check-in and late check-out.

📌 Mid-stay cleaning and other concierge services are available upon request for an additional fee.

📌 For guests’ convenience, those with early arrivals or late departures can drop off their luggage with host approval before standard check-in time.

📌 Surveillance or recording devices on property - We use a noise monitoring device; It does NOT record actual sounds or conversations, it simply monitors the noise level (measured in decibels). Video recording devices only monitor the exterior of the home and not any of the interior.","","10","","","150","",""
